symbol,code,name,exchange,board,list_date,total_mv,float_mv,total_mv_bil,float_mv_bil,f2,f3,f6,f8
600383.SH,600383,金地集团,SH,主板,2001-04-12,18509792645.0,18509792645.0,185.09792645,185.09792645,4.1,0.0,258229054.0,1.4
600386.SH,600386,北巴传媒,SH,主板,2001-02-16,3693312000.0,3693312000.0,36.93312,36.93312,4.58,1.55,66604908.0,1.81
600388.SH,600388,龙净环保,SH,主板,2000-12-29,20181035596.0,20181035596.0,201.81035596,201.81035596,15.89,5.16,589883648.0,2.94
600389.SH,600389,江山股份,SH,主板,2001-01-10,10408810500.0,10408810500.0,104.088105,104.088105,24.17,-0.78,148766029.0,1.43
600390.SH,600390,五矿资本,SH,主板,2001-01-15,26268702281.0,26268702281.0,262.68702281,262.68702281,5.84,0.17,154418764.0,0.59
600391.SH,600391,航发科技,SH,主板,2001-12-12,8953108433.0,8953108433.0,89.53108433,89.53108433,27.12,-0.26,262803165.0,2.94
600392.SH,600392,盛和资源,SH,主板,2003-05-29,41279065724.0,41279065724.0,412.79065724,412.79065724,23.55,-0.3,1830253048.0,4.47
600395.SH,600395,盘江股份,SH,主板,2001-05-31,12214295647.0,12214295647.0,122.14295647,122.14295647,5.69,1.79,156767889.0,1.29
600396.SH,600396,华电辽能,SH,主板,2001-03-28,4845205428.0,4845205428.0,48.45205428,48.45205428,3.29,0.92,74872173.0,1.56
600397.SH,600397,江钨装备,SH,主板,2002-07-02,7325703127.0,7325703127.0,73.25703127,73.25703127,7.4,0.68,172632924.0,2.34
600398.SH,600398,海澜之家,SH,主板,2000-12-28,31121951518.0,31121951518.0,311.21951518,311.21951518,6.48,-1.22,228595957.0,0.74
600399.SH,600399,抚顺特钢,SH,主板,2000-12-29,10176036000.0,10176036000.0,101.76036,101.76036,5.16,0.58,107096703.0,1.05
600400.SH,600400,红豆股份,SH,主板,2001-01-08,6301272593.0,6301272593.0,63.01272593,63.01272593,2.75,-0.36,210945574.0,3.33
600403.SH,600403,大有能源,SH,主板,2003-10-09,17357298039.0,17357298039.0,173.57298039,173.57298039,7.26,10.0,328504322.0,1.93
600405.SH,600405,动力源,SH,主板,2004-04-01,3468615468.0,3453275787.0,34.68615468,34.53275787,5.66,-1.39,123546371.0,3.56
600406.SH,600406,国电南瑞,SH,主板,2003-10-16,185782201431.0,184954991653.0,1857.82201431,1849.54991653,23.13,0.52,953301043.0,0.51
600408.SH,600408,安泰集团,SH,主板,2003-02-12,3292236000.0,3292236000.0,32.92236,32.92236,3.27,10.1,887876603.0,28.07
600409.SH,600409,三友化工,SH,主板,2003-06-18,11312634975.0,11312634975.0,113.12634975,113.12634975,5.48,0.18,73457976.0,0.65
600410.SH,600410,华胜天成,SH,主板,2004-04-27,19627254826.0,19627254826.0,196.27254826,196.27254826,17.9,-0.5,1197551073.0,6.06
600415.SH,600415,小商品城,SH,主板,2002-05-09,105669856994.0,105654722336.0,1056.69856994,1056.54722336,19.27,0.47,1076111553.0,1.01
600416.SH,600416,湘电股份,SH,主板,2002-07-18,21000383324.0,18860533712.0,210.00383324,188.60533712,14.23,0.21,280454986.0,1.48
600418.SH,600418,江淮汽车,SH,主板,2001-08-24,105356632318.0,105356632318.0,1053.56632318,1053.56632318,48.24,-0.12,1863631619.0,1.75
600419.SH,600419,天润乳业,SH,主板,2001-06-28,3170883409.0,3170883409.0,31.70883409,31.70883409,10.05,-1.86,106284030.0,3.33
600420.SH,600420,国药现代,SH,主板,2004-06-16,14323724351.0,14323724351.0,143.23724351,143.23724351,10.68,0.09,71550535.0,0.5
600422.SH,600422,昆药集团,SH,主板,2000-12-06,10741485992.0,10741485992.0,107.41485992,107.41485992,14.19,-0.35,171875385.0,1.6
600425.SH,600425,青松建化,SH,主板,2003-07-24,7526060386.0,6466525503.0,75.26060386,64.66525503,4.69,0.43,168971657.0,2.64
600426.SH,600426,华鲁恒升,SH,主板,2002-06-20,51573013751.0,51481599648.0,515.73013751,514.81599648,24.29,-1.38,441418127.0,0.86
600428.SH,600428,中远海特,SH,主板,2002-04-18,19426956397.0,17312621928.0,194.26956397,173.12621928,7.08,0.43,198559862.0,1.15
600429.SH,600429,三元股份,SH,主板,2003-09-15,7198769725.0,7143348922.0,71.98769725,71.43348922,4.77,0.42,35612601.0,0.5
600433.SH,600433,冠豪高新,SH,主板,2003-06-19,5915943808.0,5915943808.0,59.15943808,59.15943808,3.38,1.81,102882267.0,1.74
600435.SH,600435,北方导航,SH,主板,2003-07-04,21868914322.0,21868914322.0,218.68914322,218.68914322,14.47,1.62,337694477.0,1.55
600436.SH,600436,片仔癀,SH,主板,2003-06-16,112874616819.0,112874616819.0,1128.74616819,1128.74616819,187.09,-4.71,975809471.0,0.86
600438.SH,600438,通威股份,SH,主板,2004-03-02,103680825946.0,103680825946.0,1036.80825946,1036.80825946,23.03,-2.42,1652680784.0,1.58
600439.SH,600439,瑞贝卡,SH,主板,2003-07-10,3214838650.0,3214838650.0,32.1483865,32.1483865,2.84,2.16,42933889.0,1.35
600446.SH,600446,金证股份,SH,主板,2003-12-24,15756817598.0,15756817598.0,157.56817598,157.56817598,16.74,-0.53,333230674.0,2.09
600449.SH,600449,宁夏建材,SH,主板,2003-08-29,6350244238.0,6350244238.0,63.50244238,63.50244238,13.28,-0.9,78823913.0,1.24
600452.SH,600452,涪陵电力,SH,主板,2004-03-03,14382029881.0,14382029881.0,143.82029881,143.82029881,9.36,0.0,124148312.0,0.86
600456.SH,600456,宝钛股份,SH,主板,2002-04-12,14873214789.0,14873214789.0,148.73214789,148.73214789,31.13,-0.67,223665682.0,1.5
600458.SH,600458,时代新材,SH,主板,2002-12-19,13287945735.0,11555122111.0,132.87945735,115.55122111,14.27,-1.72,305179838.0,2.64
600459.SH,600459,贵研铂业,SH,主板,2003-05-16,12415248439.0,12317738378.0,124.15248439,123.17738378,16.34,-3.48,424470849.0,3.42
600460.SH,600460,士兰微,SH,主板,2003-03-11,54132257118.0,54132257118.0,541.32257118,541.32257118,32.53,8.65,7173574641.0,13.14
600461.SH,600461,洪城环境,SH,主板,2004-06-01,11698653672.0,11698653672.0,116.98653672,116.98653672,9.11,0.11,111831414.0,0.96
600463.SH,600463,空港股份,SH,主板,2004-03-18,3477000000.0,3477000000.0,34.77,34.77,11.59,3.57,60535127.0,1.76
600467.SH,600467,好当家,SH,主板,2004-04-05,3520996273.0,3520996273.0,35.20996273,35.20996273,2.41,1.69,66057432.0,1.89
600468.SH,600468,百利电气,SH,主板,2001-06-15,7298704004.0,7298704004.0,72.98704004,72.98704004,6.71,2.29,304029720.0,4.19
600469.SH,600469,风神股份,SH,主板,2003-10-21,4442355804.0,4442355804.0,44.42355804,44.42355804,6.09,-3.33,86486288.0,1.93
